Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Urea,g/L,0.05,-0.014,3.18,3.1693581391215186,0.010641860878481513,0.33464971315979597
Urea,g/L,0.05,-0.0139,3.19,3.1709427284689147,0.019057271531085274,0.5974066310685039
Urea,g/L,0.05,-0.0138,3.19,3.172487953778411,0.01751204622158875,0.5489669661940046
Urea,g/L,0.05,-0.0137,3.19,3.173994668424892,0.016005331575108084,0.5017345321350497
Urea,g/L,0.05,-0.0135,3.19,3.1768965249977867,0.013103475002213205,0.41076724144868987
Urea,g/L,0.05,-0.0134,3.2,3.178293919443421,0.021706080556579188,0.6783150173930996
Urea,g/L,0.05,-0.0133,3.2,3.1796573082644786,0.020342691735521612,0.6357091167350504
Urea,g/L,0.05,-0.0132,3.2,3.180988090605298,0.019011909394702098,0.5941221685844406
Urea,g/L,0.05,-0.013,3.2,3.183557978193047,0.0164420218069532,0.5138131814672875
Urea,g/L,0.05,-0.0129,3.21,3.184800427498108,0.025199572501891865,0.7850334112738898
Urea,g/L,0.05,-0.0128,3.21,3.1860169584392053,0.02398304156079467,0.7471352511150988
Urea,g/L,0.05,-0.0127,3.21,3.1872095159301344,0.022790484069865613,0.7099839274101437
Urea,g/L,0.05,-0.0125,3.22,3.189531035986141,0.030468964013859345,0.9462411184428368
Urea,g/L,0.05,-0.0124,3.22,3.1906644341482644,0.0293355658517358,0.9110424177557702
Urea,g/L,0.05,-0.0123,3.22,3.191782730054329,0.02821726994567131,0.8763127312320281
Urea,g/L,0.05,-0.0122,3.22,3.1928884143875815,0.027111585612418665,0.841974708460207
Urea,g/L,0.05,-0.012,3.23,3.1950724568381412,0.034927543161858754,1.081348085506463
Urea,g/L,0.05,-0.0119,3.23,3.196156342091414,0.0338436579085859,1.0477912665196873
Urea,g/L,0.05,-0.0118,3.23,3.197238670043814,0.03276132995618619,1.014282661182235
Urea,g/L,0.05,-0.0117,3.24,3.1983224771480536,0.04167752285194659,1.2863432978995861
Urea,g/L,0.05,-0.0115,3.24,3.2005072203923577,0.039492779607642525,1.2189129508531642
Urea,g/L,0.05,-0.0114,3.24,3.2016147752073083,0.03838522479269191,1.1847291602682686
Urea,g/L,0.05,-0.0113,3.24,3.2027370465238634,0.03726295347613684,1.15009115667089
Urea,g/L,0.05,-0.0112,3.25,3.2038776165641973,0.04612238343580266,1.4191502595631587
Urea,g/L,0.05,-0.011,3.25,3.2062285274743347,0.04377147252566527,1.346814539251239
Urea,g/L,0.05,-0.0109,3.26,3.207446578557937,0.05255342144206265,1.61206814239456
Urea,g/L,0.05,-0.0108,3.26,3.208698348792916,0.051301651207083854,1.573670282425885
Urea,g/L,0.05,-0.0107,3.26,3.2099879661708983,0.050012033829101465,1.5341114671503517
Urea,g/L,0.05,-0.0105,3.26,3.2126978000918465,0.04730219990815332,1.4509877272439669
Urea,g/L,0.05,-0.0104,3.27,3.214126818387525,0.0558731816124749,1.7086599881490794
Urea,g/L,0.05,-0.0103,3.27,3.2156112873316403,0.05438871266835976,1.6632633843535096
Urea,g/L,0.05,-0.0102,3.28,3.217155880685274,0.06284411931472578,1.9159792474001764
Urea,g/L,0.05,-0.01,3.28,3.220444681434903,0.05955531856509699,1.8157109318627134
Urea,g/L,0.05,-0.0099,3.28,3.2221987821225295,0.05780121787747028,1.7622322523618987
Urea,g/L,0.05,-0.0098,3.29,3.2240327938029374,0.06596720619706264,2.0050822552298673
Urea,g/L,0.05,-0.0096,3.29,3.227961537418167,0.0620384625818331,1.8856675556788174
Urea,g/L,0.05,-0.0095,3.3,3.2300670358757504,0.06993296412424943,2.1191807310378614
Urea,g/L,0.05,-0.0094,3.31,3.2322739783716408,0.07772602162835929,2.348218176083362
Urea,g/L,0.05,-0.0093,3.31,3.2345880210519513,0.07541197894804874,2.2783075210890855
Urea,g/L,0.05,-0.0091,3.32,3.2395605773197245,0.08043942268027537,2.422874177116728
Urea,g/L,0.05,-0.009,3.32,3.242230948968868,0.07776905103113174,2.3424412961184258
Urea,g/L,0.05,-0.0089,3.33,3.2450321369257864,0.08496786307421367,2.551587479706116
Urea,g/L,0.05,-0.0088,3.33,3.2479703431060494,0.0820296568939507,2.4633530598783993
Urea,g/L,0.05,-0.0086,3.34,3.2542831635683434,0.0857168364316565,2.566372348253189
Urea,g/L,0.05,-0.0085,3.35,3.257670727450966,0.09232927254903389,2.756097688030862
Urea,g/L,0.05,-0.0084,3.36,3.261221208758124,0.09877879124187583,2.9398449774367807
Urea,g/L,0.05,-0.0082,3.35,3.268838023540038,0.08116197645996204,2.422745565969016
Urea,g/L,0.05,-0.0081,3.37,3.272918179846523,0.09708182015347733,2.880766176661048
Urea,g/L,0.05,-0.008,3.37,3.2771888992409943,0.09281110075900578,2.7540385981900823
Urea,g/L,0.05,-0.0079,3.37,3.2816573660240485,0.08834263397595166,2.621443144686993
